República de Chile,República de Chile.1,República de Chile.2
Bandera Escudo,Bandera Escudo,Bandera Escudo
Bandera,Escudo,
Lema: «Por la razón o la fuerza»,Lema: «Por la razón o la fuerza»,Lema: «Por la razón o la fuerza»
Himno: Himno nacional de Chile ¿Problemas al reproducir este archivo?,Himno: Himno nacional de Chile ¿Problemas al reproducir este archivo?,Himno: Himno nacional de Chile ¿Problemas al reproducir este archivo?
,,
Capital(y ciudad más poblada),"Santiago de Chile 33°27′00″S 70°40′00″O﻿ / ﻿-33.45, -70.666666666667Coordenadas: 33°27′00″S 70°40′00″O﻿ / ﻿-33.45, -70.666666666667","Santiago de Chile 33°27′00″S 70°40′00″O﻿ / ﻿-33.45, -70.666666666667Coordenadas: 33°27′00″S 70°40′00″O﻿ / ﻿-33.45, -70.666666666667"
Idioma oficial,español (de facto)[1]​[n 1]​,español (de facto)[1]​[n 1]​
• Hablados,Lenguas de Chile,Lenguas de Chile
Gentilicio,"chileno, -na[2]​","chileno, -na[2]​"
Forma de gobierno,República democrática presidencialista,República democrática presidencialista
• Presidente,Sebastián Piñera Echenique,Sebastián Piñera Echenique
Órgano legislativo,Congreso Nacional de Chile,Congreso Nacional de Chile
Independencia • Primera Junta • Declarada • Reconocida,del Imperio español18 de septiembre de 1810 (209 años)12 de febrero de 1818 (202 años)24 de abril de 1844[3]​ (175 años),del Imperio español18 de septiembre de 1810 (209 años)12 de febrero de 1818 (202 años)24 de abril de 1844[3]​ (175 años)
Superficie,Puesto 38.º,Puesto 38.º
• Total,"756 102,4 km²[4]​[n 2]​","756 102,4 km²[4]​[n 2]​"
• Agua (%),"1,07 %","1,07 %"
Fronteras,7801 km[5]​[n 3]​,7801 km[5]​[n 3]​
Línea de costa,6435 km[6]​,6435 km[6]​
Punto más alto,Nevado Ojos del Salado,Nevado Ojos del Salado
Población total,Puesto 62.º,Puesto 62.º
• Estimación,19 107 216 hab. (2019)[7]​,19 107 216 hab. (2019)[7]​
• Censo,17 574 003 hab. (2017)[8]​,17 574 003 hab. (2017)[8]​
• Densidad (est.),"25,27 hab./km²","25,27 hab./km²"
PIB (PPA),Puesto 42.º,Puesto 42.º
• Total (2020),USD 528 300 millones[9]​,USD 528 300 millones[9]​
• Per cápita,USD 27 150[9]​,USD 27 150[9]​
PIB (nominal),Puesto 41.º,Puesto 41.º
• Total (2020),USD 308 505 millones[9]​,USD 308 505 millones[9]​
• Per cápita,USD 15 855[9]​,USD 15 855[9]​
IDH (2018),0.847[10]​ (42.º) – Muy alto[10]​,0.847[10]​ (42.º) – Muy alto[10]​
Coeficiente de Gini,"45,9 alto (2018)[11]​","45,9 alto (2018)[11]​"
Moneda,"peso[12]​ ($,[12]​ CLP)[13]​","peso[12]​ ($,[12]​ CLP)[13]​"
Huso horario,"UTC-6, UTC-4 y UTC-3","UTC-6, UTC-4 y UTC-3"
• En verano,UTC-5 y UTC-3,UTC-5 y UTC-3
Código ISO,152 / CHL / CL[14]​,152 / CHL / CL[14]​
Dominio internet,.cl,.cl
Prefijo telefónico,+56[16]​,+56[16]​
Prefijo radiofónico,"3GA-3GZ, CAA-CEZ, XQA-XRZ[17]​","3GA-3GZ, CAA-CEZ, XQA-XRZ[17]​"
Siglas país para aeronaves,CC[18]​,CC[18]​
Siglas país para automóviles,RCH[19]​,RCH[19]​
Código del COI,CHI,CHI
"MembresíaABINIA, ACNUR, AIF, AIIB, ALADI,[n 4]​ APEC, BID, BIRD, BPI, CAN,[n 5]​ CD, CFI, CICR, CNUCYD, COI, CPA, CPI, CSI, FAO, FICR, FIDA, FMI, FSM, G-15,[n 4]​ G-77,[n 4]​Grupo de Río, IADB, ICC, IMSO, Interpol, ITSO, Mercosur,[n 5]​ MPNA, OACI, OCDE, OEA,[n 4]​OHI, OIEA, OIM, OIN, OIT, OMA, OMC,[n 4]​ OMGI, OMI, OMM, OMPI, OMS, OMT, ONU,[n 4]​ ONUDI, OPANAL, OPAQ, PCA, SELA, SICA,[n 6]​ UIP, UIT, Unasur, Unesco, Unión Latina, UPU;[20]​ ABINIA, Alianza del Pacífico,[n 4]​ CAF,[n 5]​ CELAC,[n 4]​ CEPAL, CIN, CONVEMAR, FIFA, OEI, OLADE, OTI, P4[n 4]​ TIAR[n 4]​","MembresíaABINIA, ACNUR, AIF, AIIB, ALADI,[n 4]​ APEC, BID, BIRD, BPI, CAN,[n 5]​ CD, CFI, CICR, CNUCYD, COI, CPA, CPI, CSI, FAO, FICR, FIDA, FMI, FSM, G-15,[n 4]​ G-77,[n 4]​Grupo de Río, IADB, ICC, IMSO, Interpol, ITSO, Mercosur,[n 5]​ MPNA, OACI, OCDE, OEA,[n 4]​OHI, OIEA, OIM, OIN, OIT, OMA, OMC,[n 4]​ OMGI, OMI, OMM, OMPI, OMS, OMT, ONU,[n 4]​ ONUDI, OPANAL, OPAQ, PCA, SELA, SICA,[n 6]​ UIP, UIT, Unasur, Unesco, Unión Latina, UPU;[20]​ ABINIA, Alianza del Pacífico,[n 4]​ CAF,[n 5]​ CELAC,[n 4]​ CEPAL, CIN, CONVEMAR, FIFA, OEI, OLADE, OTI, P4[n 4]​ TIAR[n 4]​","MembresíaABINIA, ACNUR, AIF, AIIB, ALADI,[n 4]​ APEC, BID, BIRD, BPI, CAN,[n 5]​ CD, CFI, CICR, CNUCYD, COI, CPA, CPI, CSI, FAO, FICR, FIDA, FMI, FSM, G-15,[n 4]​ G-77,[n 4]​Grupo de Río, IADB, ICC, IMSO, Interpol, ITSO, Mercosur,[n 5]​ MPNA, OACI, OCDE, OEA,[n 4]​OHI, OIEA, OIM, OIN, OIT, OMA, OMC,[n 4]​ OMGI, OMI, OMM, OMPI, OMS, OMT, ONU,[n 4]​ ONUDI, OPANAL, OPAQ, PCA, SELA, SICA,[n 6]​ UIP, UIT, Unasur, Unesco, Unión Latina, UPU;[20]​ ABINIA, Alianza del Pacífico,[n 4]​ CAF,[n 5]​ CELAC,[n 4]​ CEPAL, CIN, CONVEMAR, FIFA, OEI, OLADE, OTI, P4[n 4]​ TIAR[n 4]​"
[editar datos en Wikidata],[editar datos en Wikidata],[editar datos en Wikidata]
