Días feriados en Chile,Días feriados en Chile,Días feriados en Chile,Días feriados en Chile
Fecha,Nombre,Carácter,Notas
1 de enero[339]​,Año Nuevo,civil,Obligatorio e irrenunciable.[648]​
marzo-abril[n 32]​,Viernes Santo[339]​,religioso,
marzo-abril[n 32]​,Sábado Santo[339]​,religioso,
1 de mayo[649]​[650]​,Día del Trabajo,civil,Obligatorio e irrenunciable.[648]​[651]​
21 de mayo[339]​,Día de las Glorias Navales,civil,
29 de junio[339]​[652]​,San Pedro y San Pablo,religioso,Se desplaza al lunes más cercano si cae entre martes y viernes.[653]​
16 de julio[654]​,Día de la Virgen del Carmen,religioso,
15 de agosto[339]​,Asunción de la Virgen,religioso,
18 de septiembre[339]​,Primera Junta Nacional de Gobierno,civil,Obligatorio e irrenunciable.[648]​
19 de septiembre[339]​,Día de las Glorias del Ejército de Chile,civil,Obligatorio e irrenunciable.[655]​
12 de octubre[656]​[657]​,Descubrimiento de Dos Mundos[653]​[n 33]​,civil,Se desplaza al lunes más cercano si cae entre martes y viernes.[653]​
31 de octubre[658]​,Día Nacional de las Iglesias Evangélicas y Protestantes,religioso,
1 de noviembre[339]​,Día de Todos los Santos,religioso,
8 de diciembre[339]​,Inmaculada Concepción,religioso,
25 de diciembre[339]​,Navidad,religioso,Obligatorio e irrenunciable.[648]​
